phase,window_start,window_end,window_seconds,hrv_status,hrv_reason,rr_count,rr_pairs,rmssd_ms,sdnn_ms,lf_power,z_score,eye_frame_count,eye_face_detected_ratio,eye_on_screen_ratio,eye_mean_confidence,eye_mean_gaze_x,eye_mean_gaze_y,eye_blink_count_max,eye_mean_fps,eye_mean_transition_rate
task,2026-09-19T10:07:58.754556+00:00,2026-09-19T10:08:28.754556+00:00,30.00,ready,,84,83,,,0.0016,3.3419,897,1.0,0.9241917502787068,0.35892632579426237,1056.762653707554,915.5161738965759,0,30.17061184067326,1.786845039018952
task,2026-09-19T10:07:59.788032+00:00,2026-09-19T10:08:29.788032+00:00,30.00,ready,,85,84,,,0.0016,3.3920,897,1.0,0.919732441471572,0.3508292028333674,1016.35082514495,884.628518072692,0,30.161147215356216,1.7892976588628762
task,2026-09-19T10:08:00.733013+00:00,2026-09-19T10:08:30.733013+00:00,30.00,ready,,86,85,,,0.0015,3.2545,897,1.0,0.8896321070234113,0.3408935006553766,989.6333748676024,864.7246424087726,1.0,30.16269658522302,1.8153846153846156
task,2026-09-19T10:08:01.814211+00:00,2026-09-19T10:08:31.814211+00:00,30.00,ready,,87,86,,,0.0014,3.0169,897,1.0,0.8762541806020067,0.3348158201140183,1006.1420719544528,871.7580023671129,2.0,30.161189562547985,1.8318840579710145
task,2026-09-19T10:08:02.758436+00:00,2026-09-19T10:08:32.758436+00:00,30.00,ready,,88,87,,,0.0014,2.9985,897,1.0,0.8706800445930881,0.3271045361208209,1048.2717102478882,863.993893036995,2.0,30.151538020604608,1.8684503901895206
task,2026-09-19T10:08:03.747878+00:00,2026-09-19T10:08:33.747878+00:00,30.00,ready,,89,88,,,0.0015,3.1536,896,1.0,0.8504464285714286,0.31787965681080793,1124.1957884299995,880.1350074213915,2.0,30.131386670066455,1.9308035714285714
task,2026-09-19T10:08:04.738001+00:00,2026-09-19T10:08:34.738001+00:00,30.00,ready,,90,89,,,0.0015,3.1719,898,1.0,0.8273942093541202,0.3091938608527733,1222.1895349266524,909.1449147726264,2.0,30.13175004795829,1.9783964365256124
task,2026-09-19T10:08:05.728482+00:00,2026-09-19T10:08:35.728482+00:00,30.00,ready,,91,90,,,0.0011,2.1944,897,1.0,0.7993311036789298,0.3046542674732378,1256.7903224411855,904.6349544124311,3.0,30.124046857097856,2.0120401337792644
task,2026-09-19T10:08:06.762671+00:00,2026-09-19T10:08:36.762671+00:00,30.00,ready,,92,91,,,0.0011,2.1930,897,1.0,0.7670011148272018,0.2928791592055273,1261.9953094015825,875.6678918096262,3.0,30.114829885627927,2.07670011148272
task,2026-09-19T10:08:06.764535+00:00,2026-09-19T10:08:36.764535+00:00,30.00,ready,,93,92,,,0.0010,2.0339,897,1.0,0.7670011148272018,0.2928791592055273,1261.9953094015825,875.6678918096262,3.0,30.114829885627927,2.07670011148272
task,2026-09-19T10:08:07.754032+00:00,2026-09-19T10:08:37.754032+00:00,30.00,ready,,94,93,,,0.0009,1.7765,897,1.0,0.7435897435897436,0.28606148336764986,1274.8316455859108,880.7999075584977,5.0,30.111890244153226,2.1687848383500556
task,2026-09-19T10:08:08.743554+00:00,2026-09-19T10:08:38.743554+00:00,30.00,ready,,95,94,,,0.0008,1.5069,897,1.0,0.7402452619843924,0.28668595967083127,1251.1835734775696,906.1826463703501,5.0,30.10289842619363,2.233444816053512
task,2026-09-19T10:08:09.733910+00:00,2026-09-19T10:08:39.733910+00:00,30.00,ready,,96,95,,,0.0011,2.2307,897,1.0,0.7279821627647715,0.27835534131335277,1228.315678547632,924.5086543316868,5.0,30.089091775142947,2.283612040133779
task,2026-09-19T10:08:09.738105+00:00,2026-09-19T10:08:39.738105+00:00,30.00,ready,,97,96,,,0.0008,1.3975,898,1.0,0.7271714922048997,0.27804536877291475,1227.3135564942024,925.5432521316696,5.0,30.089423954081155,2.2857461024498886
task,2026-09-19T10:08:10.767951+00:00,2026-09-19T10:08:40.767951+00:00,30.00,ready,,98,97,,,0.0012,2.5154,898,1.0,0.7271714922048997,0.2791775800661961,1175.0608580966416,952.9648620493145,5.0,30.093351450304112,2.3104677060133634
task,2026-09-19T10:08:11.758512+00:00,2026-09-19T10:08:41.758512+00:00,30.00,ready,,99,98,,,0.0009,1.7397,898,1.0,0.6948775055679287,0.2618446868022443,1146.9168496069694,977.9008394192671,5.0,30.123468157251274,2.312249443207127
task,2026-09-19T10:08:12.748569+00:00,2026-09-19T10:08:42.748569+00:00,30.00,ready,,100,99,,,0.0010,1.9815,874,1.0,0.6796338672768879,0.2598553803847649,1130.3934841712082,976.5941598774268,5.0,30.136369357914955,2.2469107551487415
task,2026-09-19T10:08:13.738121+00:00,2026-09-19T10:08:43.738121+00:00,30.00,ready,,101,100,,,0.0011,2.1247,845,1.0,0.6804733727810651,0.263694532935028,1104.1367890767212,976.3641284709549,5.0,30.140230800898824,2.1704142011834318
task,2026-09-19T10:08:13.739644+00:00,2026-09-19T10:08:43.739644+00:00,30.00,ready,,102,101,,,0.0013,2.7607,845,1.0,0.6804733727810651,0.263694532935028,1104.1367890767212,976.3641284709549,5.0,30.140230800898824,2.1704142011834318
